city,state,population,state_name,slug
Manchester,NH,110378,New Hampshire,manchester-nh
Elgin,IL,110145,Illinois,elgin-il
West Jordan,UT,110077,Utah,west-jordan-ut
Round Rock,TX,109821,Texas,round-rock-tx
Clearwater,FL,109703,Florida,clearwater-fl
Waterbury,CT,109676,Connecticut,waterbury-ct
Gresham,OR,109397,Oregon,gresham-or
Fairfield,CA,109320,California,fairfield-ca
Billings,MT,109059,Montana,billings-mt
Lowell,MA,108861,Massachusetts,lowell-ma
San Buenaventura (Ventura),CA,108817,California,san-buenaventura-ventura-ca
Pueblo,CO,108249,Colorado,pueblo-co
High Point,NC,107741,North Carolina,high-point-nc
West Covina,CA,107740,California,west-covina-ca
Richmond,CA,107571,California,richmond-ca
Murrieta,CA,107479,California,murrieta-ca
Cambridge,MA,107289,Massachusetts,cambridge-ma
Antioch,CA,107100,California,antioch-ca
Temecula,CA,106780,California,temecula-ca
Norwalk,CA,106589,California,norwalk-ca
Centennial,CO,106114,Colorado,centennial-co
Everett,WA,105370,Washington,everett-wa
Palm Bay,FL,104898,Florida,palm-bay-fl
Wichita Falls,TX,104898,Texas,wichita-falls-tx
Green Bay,WI,104779,Wisconsin,green-bay-wi
Daly City,CA,104739,California,daly-city-ca
Burbank,CA,104709,California,burbank-ca
Richardson,TX,104475,Texas,richardson-tx
Pompano Beach,FL,104410,Florida,pompano-beach-fl
North Charleston,SC,104054,South Carolina,north-charleston-sc
Broken Arrow,OK,103500,Oklahoma,broken-arrow-ok
Boulder,CO,103166,Colorado,boulder-co
West Palm Beach,FL,102436,Florida,west-palm-beach-fl
Santa Maria,CA,102216,California,santa-maria-ca
El Cajon,CA,102211,California,el-cajon-ca
Davenport,IA,102157,Iowa,davenport-ia
Rialto,CA,101910,California,rialto-ca
Las Cruces,NM,101324,New Mexico,las-cruces-nm
San Mateo,CA,101128,California,san-mateo-ca
Lewisville,TX,101074,Texas,lewisville-tx
South Bend,IN,100886,Indiana,south-bend-in
Lakeland,FL,100710,Florida,lakeland-fl
Erie,PA,100671,Pennsylvania,erie-pa
Tyler,TX,100223,Texas,tyler-tx
Pearland,TX,100065,Texas,pearland-tx
College Station,TX,100050,Texas,college-station-tx
Kenosha,WI,99889,Wisconsin,kenosha-wi
Sandy Springs,GA,99770,Georgia,sandy-springs-ga
Clovis,CA,99769,California,clovis-ca
Flint,MI,99763,Michigan,flint-mi
Roanoke,VA,98465,Virginia,roanoke-va
Albany,NY,98424,New York,albany-ny
Jurupa Valley,CA,98030,California,jurupa-valley-ca
Compton,CA,97877,California,compton-ca
San Angelo,TX,97492,Texas,san-angelo-tx
Hillsboro,OR,97368,Oregon,hillsboro-or
Lawton,OK,97151,Oklahoma,lawton-ok
Renton,WA,97003,Washington,renton-wa
Vista,CA,96929,California,vista-ca
Davie,FL,96830,Florida,davie-fl
Greeley,CO,96539,Colorado,greeley-co
Mission Viejo,CA,96346,California,mission-viejo-ca
Portsmouth,VA,96205,Virginia,portsmouth-va
Dearborn,MI,95884,Michigan,dearborn-mi
South Gate,CA,95677,California,south-gate-ca
Tuscaloosa,AL,95334,Alabama,tuscaloosa-al
Livonia,MI,95208,Michigan,livonia-mi
New Bedford,MA,95078,Massachusetts,new-bedford-ma
Vacaville,CA,94275,California,vacaville-ca
Brockton,MA,94089,Massachusetts,brockton-ma
Roswell,GA,94034,Georgia,roswell-ga
Beaverton,OR,93542,Oregon,beaverton-or
Quincy,MA,93494,Massachusetts,quincy-ma
